 ,Часы звонков,1 курс,,,,1 курс,,,,1 курс,,,,1 курс,,,,,,1 курс,,,,1 курс,,,1 курс,,,,2 курс,,,,2 курс,,,,2 курс,,,,,,2 курс,,,,2 курс,,2 курс,,,2 курс,,,,3 курс,,,,,,,,3 курс,,,,,,3 курс,,,,,,3 курс,,,,,,3 курс,,3 курс,,,,4 курс,,,,,,,,4 курс,,,,,,4 курс,,,,,,4 курс,,,,,,,4 курс,,,4 курс,,,,5 курс
,,1 группа,,2 группа,,3 группа,,4 группа,,5 группа,,6 группа,,7 группа,,8 группа,,9 группа,,10 группа,,11 группа,12 группа,13 группа ,,14 группа,15 группа ,,16 группа,,1 группа,,2 группа,,3 группа,,4 группа,,5 группа,,6 группа,,7 группа,,8 группа,,9 группа,,10 группа,,11 группа,,12 группа,13 группа,,14 группа,,1 группа ,,2 группа ,,3 группа,,4 группа,,5 группа,,6 группа,,7 группа,,8 группа,,9 группа,,10 группа,,11 группа,,12 группа,13 группа,ПММ,,14 группа,,15 группа ,,16 группа ,,1 группа,,2 группа,,3 группа,,4 группа,,5 группа,,6 группа,,7 группа,,8 группа,,9 группа,,10 группа,,11 группа ,,12 группа,,13 группа,ПММ,,14 группа,,15 группа,16 группа ,,17 группа ,,1 группа
,,"Направление ""Информационные системы и технологии""",,,,,,,,"Направление ""Программная инженерия""",,,,,,,,"Направление ""Информационная безопасность""",,,,"Специальность ""Компьютерная безопасность""",,"Направление ""Прикладная информатика""",,,"Направление ""Математика и компьютерные науки""",,,,"Направление ""Информационные системы и технологии"" ",,,,,,,,"Направление ""Программная инженерия""",,,,,,"Направление ""Информационная безопасность""",,,,"Специальность ""Компьютерная безопасность""",,"Направление ""Прикладная информатика""",,,"Направление ""Математика и компьютерные науки""",,,,"Направление ""Информационные системы и технологии"" ",,,,,,,,,,,,,,"Направление ""Программная инженерия""",,,,,,"Направление ""ИБ""",,,"Специальность ""Компьютерная безопасность""",,,"Направление ""Прикладная информатика в экономике""",,"Направление ""Математика и компьютерные науки""",,,,"Направление ""Информационные системы и технологии"" ",,,,,,,,,,,,,,"Направление ""Программная инженерия""",,,,,,"Направление ""ИБ""",,,,"Специальность ""Компьютерная безопасность""",,,"Направление ""Прикладная информатика"" ",,,"Направление ""Математика и компьютерные науки""",,,,"Специальность ""Компьютерная безопасность"""
,,,,,,,,,,"профиль ""Информационные системы и сетевые технологии"" ",,,,,,,," профиль ""Безопасность компьютерных систем"" ",,,,"специализация ""РЗПО""","специализация ""АБКС"" (военные)","профиль ""Прикладная информатика в экономике""",,,,,,,,,,,,,,,"профиль ""Информационные системы и сетевые технологии"" ",,,,,," профиль ""Безопасность компьютерных систем"" ",,,,"специализация ""РЗПО""",,"профиль ""Прикладная информатика в экономике""",,,"профиль ""Распределенные системы и искусственный интеллект""",,"профиль ""Квантовая теория информации""",,ИСиСТ,,ИСвТК,,ВВМиИВ,,ОИМО,,ИСиТУП,,ПИвИС ,,ИТвЦД (19),,"профиль ""Информационные системы и сетевые технологии"" ",,,,,," профиль ""Безопасность компьютерных систем"" ",,,"специализация ""АБКС""","специализация ""БКСиС"" (гражданские) (29)",,"профиль ""Прикладная информатика в экономике"" ",,"профиль ""Распределенные системы и искусственный интеллект""",,"профиль ""Квантовая теория информации""",,ИСиСТ (19),,ИСТК (18),,ВВМиИВ (19),,ОИМО (19),,ИСиТУП (23),,ПИвИС (24),,ИТвЦД (19),,"профиль ""Информационные системы и сетевые технологии""",,,,,," профиль ""Безопасность компьютерных систем""",,,,"специализация ""АБКС""","специализация ""ММЗИ""","специализация ""БКСиС"" (гражданские)","профиль ""Прикладная информатика в экономике""",,,"профиль ""Распределенные системы и искусственный интеллект""",,"профиль ""Квантовая теория информации""",,"специализация ""АБКС"""
Понедельник,8:00 - 9:35,,,История России доц. Лавлинский С.А. 305П,,Дискретная математика доц. Попов М.И. 505П,,Ин.яз. преп. Землянухина В.А.  309П,,Математический анализ доц. Сирота Е.А. 477,,,,,,,,,,Экономика и финансовая грамотность доц. Павлова Е.А. 292,,Линейная алгебра доц. Атанов А.В. 380,,,,,,,,,,,,,,,,,"Русский язык для иностранцев,главный корпус ИМО, ауд. 314",,,,"Русский язык для иностранцев, главный корпус ИМО, ауд. 314",,"Русский язык для иностранцев, главный корпус ИМО, ауд. 314",,,,,,,,,"Русский язык для иностранцев,главный корпус ИМО, ауд. 314",,"Русский язык для иностранцев,главный корпус ИМО, ауд. 314",,Военная подготовка,,,,,,,,,,,,,,,,,,,,Военная подготовка,,,,,,,,,,,,,,Архитектура ИС (id=4607) ст.преп. Попова Е.В. 385,Архитектура ИС (id=4607) ст.преп. Попова Е.В. 385,,,,,,,,,,,НИР,НИР,,,,,КОЗИОИ доц. Мальцев А.С. 383,КОЗИОИ доц. Мальцев А.С. 383,,,,,,,,,ИБ (id=29486) асс. Бережнов Н.И. 290,ИБ (id=29486) асс. Бережнов Н.И. 290,СиСТК (id=2215) асс. Петров Ю.В. 295,СиСТК (id=2215) асс. Петров Ю.В. 295,ВУЦ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Архитектура ИС (id=4607) асс. Семечев Д.А. 314П,,,,,,,,,,,СиСТК (id=2215) асс. Петров Ю.В. 295,СиСТК (id=2215) асс. Петров Ю.В. 295,,,
,9:45 - 11:20,История России доц. Лавлинский С.А. 292,,Архитектура ЭВМ (id=3)  доц. Ветохин В.В. 295,,Алгебра и геометрия доц. Чуракова Т.А. 477,,,,МЛ и ТА ст.преп. Пашкевич А.А. 297,Ин.яз. доц. Стрельникова М.А. 309П,Язык Си  (id=4746) асс. Фролова В.В. 387,Основы работы в ОС Linux  (id=31485) ст.преп. Нужных А.В. 384,Алгебра и геометрия (id=4525) доц. Атанов А.В. 380,,Дискретная математика (id=20352) доц. Каверина В.К. 305П,,ТФКП доц. Сирота Е.А. 505П,,,,Дискретная математика (id= 20352) доц. Попов М.И. 307П,,,,,,,Математический анализ ст.преп. Толкачев А.В.  479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Русский язык для иностранцев,главный корпус ИМО, ауд. 314",,,,,,,,,,,,,,,,Автоматизированное управление технологическими процессами изготовления полупроводниковой электроники  (id=31587)  доц. Барков К.А. 382,,,,,,,,,,,,НИР,НИР,,,Разработка и АТ доц. Вахтин А.А. 291,"Алгоритмы на строках (id=6425)
проф. Махортов С.Д. 381",КОЗИОИ доц. Мальцев А.С. 383,КОЗИОИ доц. Мальцев А.С. 383,Безопасность компьютерных сетей ст.преп. Коваль А.С. 301П,,,,,,,,Управление проектами (id=24215) ст.преп. Коротков В.В. 385,,ИБ (id=29486) асс. Бережнов Н.И. 316П,ИБ (id=29486) асс. Бережнов Н.И. 316П,
,,,,,,,,Язык Си (id=4746) асс. Фролова В.В. 387,,Ин.яз. доц. Стрельникова М.А. 309П,МЛ и ТА ст.преп. Пашкевич А.А. 314П,АиСД    асс. Миронова А.С. 301П,,,,,,Экономика и финансовая грамотность (id=17661) доц. Павлова Е.А. 505П,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Квантовая теория (id=31569) доц. Дробышев А.А. 316П,Квантовая теория (id=31569) доц. Дробышев А.А. 316П,,,,,,,,,,,,Разработка встраиваемых систем (id=4609)  асс. Семечев Д.А. 290,Разработка встраиваемых систем (id=4609)  асс. Семечев Д.А. 290,Распределенные системы вычислений (id=32377) проф. Абрамов Г.В. 385,,,,,,,,,,,,Архитектура ИС (id=4607) ст.преп. Попова Е.В. 303П,,Безопасность компьютерных сетей (id=2995) ст.преп. Коваль А.С. 383,Безопасность компьютерных сетей (id=2995) ст.преп. Коваль А.С. 383,КОЗИОИ доц. Мальцев А.С. 293,,,,,,,,Нейронные сети и генетические алгоритмы доц. Сирота Е.А. 479,,,,
,11:30-13:05,Дискретная математика доц. Попов М.И. 477,,,Ин.яз. ст.преп. Барсукова Н.В. 308П,Язык Си (id=4746) асс. Фролова В.В.  387,,Архитектура ЭВМ (id=3) доц. Ветохин В.В. 295,,Дискретная математика (id=20352) доц. Каверина В.К. 305П,,,МЛ и ТА ст.преп. Пашкевич А.А. 291,АиСД (id=5509) асс. Миронова А.С. 385,,,Ин.яз. преп. Гавриш О.А. 309П,Экономика и финансовая грамотность доц. Павлова Е.А. 307П,,,,Линейная алгебра доц. Атанов А.В. 380,,,,Ин.яз. доц. Стрельникова М.А. 311,Аналитическая геометрия проф. Вахитова Е.В. 479,,Математический анализ ст.преп. Толкачев А.В.  292,,Военная подготовка,,,,,,,,Военная подготовка,,,,,,Военная подготовка,,,,Военная подготовка,,Военная подготовка,,,Военная подготовка,,,,,,,,,,,,,,,,,,Военная подготовка,,,,,,,,,Квантовая теория (id=31569) доц. Дробышев А.А. 505П,,,Военная подготовка,,,,,,,,Автоматизированное управление технологическими процессами изготовления полупроводниковой электроники  (id=31587)  доц. Барков К.А. 382,Автоматизированное управление технологическими процессами изготовления полупроводниковой электроники  (id=31587)  доц. Барков К.А. 382,Архитектура ИС (id=4607)  асс. Семечев Д.А. 301П,,Разработка приложений для систем машинного обучения (id=28782) асс. Отырба Р.Р. 290,Разработка приложений для систем машинного обучения (id=28782) асс. Отырба Р.Р. 290,НИР,НИР,,,,,НИР,НИР,,Архитектура ИС (id=4607) ст.преп. Попова Е.В.  297,"Алгоритмы на строках (id=6425)
проф. Махортов С.Д. 381",Разработка и АТ доц. Вахтин А.А. 314П,Безопасность компьютерных сетей (id=2995) ст.преп. Коваль А.С. 383,Безопасность компьютерных сетей (id=2995) ст.преп. Коваль А.С. 383,КОЗИОИ доц. Мальцев А.С. 293,,,,,ОТУ (id=16078) доц. Алейникова Н.А. 303П,,,,НСиГА ст.преп. Максимов А.В. 384,Управление проектами (id=24215) ст.преп. Коротков В.В. 316П,,
,,Алгебра и геометрия доц. Чуракова Т.А. 477,,,,,,,,,,МЛ и ТА ст.преп. Пашкевич А.А. 385,Язык Си  (id=4746) асс. Фролова В.В. 387,,Ин.яз. ст.преп. Барсукова Н.В.  308П,Ин.яз. преп. Гавриш О.А. 309П,,,,АиСД (id=5509) асс. Миронова А.С. 316П,,,,,,,Алгебра проф. Вахитова Е.В. 479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Разработка встраиваемых систем (id=4609)  асс. Семечев Д.А. 290,Разработка встраиваемых систем (id=4609)  асс. Семечев Д.А. 290,Архитектура ИС (id=4607) ст.преп. Попова Е.В. 297,Архитектура ИС (id=4607) ст.преп. Попова Е.В. 297,,,,,,,,,,Разработка и АТ доц. Вахтин А.А. 314П,,,,,,,,,,,,,НСиГА ст.преп. Максимов А.В. 384,,Квантовая теория информации (id=25774) доц. Борзунов С.В. 295,,
